# /home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75/CPo3Ti40S400_75.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.8864650549564748, -3.8864650549564748], error=0.6782924633690215, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
238000	1.8839587295474575E-5	12342.31981713455
239000	5.1171853414670185E-5	26057.7692702251
240000	3.001384563439591E-5	25431.302174160308
241000	4.981439577445669E-5	22854.606227575274
242000	4.192416468060135E-6	5773.897083528895
243000	3.274207486349305E-5	7901.308243956643
244000	1.5646407596311943E-5	3988.7177939825906
245000	2.1017973247800814E-5	5573.721366867693
246000	2.2567970350851265E-5	1687.8401317638723
247000	4.975120338891859E-5	23052.891782713796
248000	4.643842062994769E-5	6537.263936333971
249000	6.403579508618875E-6	5315.942343338311
250000	1.737510956091645E-5	6584.075437222537
251000	1.8732053360242883E-5	3413.254917045454
252000	4.462124137654962E-5	2937.0783692938753
253000	4.0788424164634705E-6	13689.014590059236
254000	3.092141732140439E-5	2961.6636666305803
255000	4.117116600482642E-5	22137.55577493195
256000	4.231924775664853E-5	6952.70118919782
257000	9.54710110107604E-6	13954.381972661564
258000	4.752978316617247E-5	23063.63885951823
259000	3.727683207411062E-5	9220.085122213257
260000	5.081132973571941E-5	25221.98936251949
261000	4.1171284134574656E-5	22066.87173056513
262000	4.8711286265779746E-5	25563.629265933527
263000	1.813652824003562E-5	3685.712087954783
264000	5.09692203508195E-5	24967.995751809503
265000	5.105995233867631E-5	22393.468759573963
266000	4.826267420790477E-5	25784.589948273668
267000	1.8551971225217467E-5	19819.96081235162
268000	3.38896528804719E-5	6816.428177802059
269000	5.064202987636159E-5	25639.935224778474
270000	2.4893845980576574E-5	4669.076237369478
271000	5.0484913374880415E-5	20582.56415950602
272000	2.052356658230917E-5	22351.15349834848
273000	3.9637155888673125E-5	25748.93557618606
274000	4.968025483951623E-5	21632.285083659328
275000	7.948264378174154E-6	6567.15668445093
276000	4.882162399191389E-5	25512.07598951611
277000	4.748879714416864E-6	10581.650099517392
278000	5.0810599201885466E-5	25889.921107267906
279000	6.456738240386827E-6	3568.513215996859
280000	5.09059363499973E-5	23825.38961997763
281000	4.65845827066375E-5	25990.34063832899
282000	5.240885442220876E-6	25888.544749493674
283000	1.3473798285898821E-5	20619.94651882156
284000	4.97068763175094E-5	25275.062583460694
285000	3.6810442060539874E-6	6994.932987669994
286000	2.4217959282696662E-5	2917.533662849835
287000	5.040572583120368E-5	25479.435697122568
288000	1.2570431309831488E-5	25960.558224713335
289000	5.0564331019305E-5	25222.28354634396
290000	4.244094063983874E-5	23007.318848812516
291000	4.7900291516105504E-5	25617.176805693525
292000	1.0085633827369625E-5	21545.3452696395
293000	2.6203920605052894E-6	8944.891042574154
294000	1.6652789712286015E-5	5015.823977209758
295000	1.0504153047848268E-5	3942.1645549864547
296000	1.5145017808211945E-5	3721.2097050358325
297000	9.736989382032872E-6	24225.16247575072
298000	1.6933084360927995E-5	6518.6079467289355
299000	1.4590547943892893E-5	8130.920187008037
300000	5.1497893572311846E-5	23423.491429528498
301000	1.5721835173925102E-5	1218.3208400543265
302000	4.3782954653589384E-5	24833.467389385125
303000	3.899677044653408E-5	13769.769178615414
304000	3.636440836614915E-5	18652.7790673256
305000	5.1001476495724905E-5	21719.643976282216
306000	5.0677262094626895E-5	19345.973282565483
307000	1.3852329671940202E-5	2966.460357781621
308000	3.4185649257666136E-5	23461.898679423964
309000	1.072683399148887E-5	17854.563611917314
310000	4.447983879228055E-6	9709.791821379422
311000	3.7934917379671075E-5	23568.409306477603
312000	4.897779535221514E-5	26121.676081130503
313000	4.849873454039901E-5	23140.369157073856
314000	1.4705239862577145E-5	5430.595889410276
315000	5.141755735043676E-6	4907.261161455971
316000	2.9635941243745615E-6	5770.87333885522
317000	9.762966049693527E-6	21790.055600391726
318000	4.8928246937146766E-5	19253.843901557615
319000	1.1686984519342339E-5	9071.097677946891
320000	1.3121671423984453E-5	24426.62946331356
321000	4.6047232783147E-5	26022.772608280095
322000	1.2660002612314894E-5	5789.194194850622
323000	5.121883970401937E-5	24243.394340547802
324000	4.847647931570846E-5	25087.861478816405
325000	2.115847118715856E-5	10625.83755543793
326000	1.0290132626374721E-5	2994.0455532684136
327000	3.906229872052045E-5	21343.877541519745
328000	1.076377234677855E-5	8871.57763316578
329000	4.233205616828255E-6	8819.862425618277
330000	3.583719780843432E-5	21642.34757920794
331000	4.936884579795302E-5	24600.607738869792
332000	3.251819998865082E-5	17009.293157033822
333000	4.384552008780817E-6	5409.980275440264
334000	2.0407675166426534E-5	9553.477211833417
335000	1.201191264850657E-5	2669.134654979422
336000	5.0155794222954815E-5	25337.193338495985
337000	1.1767204672900186E-5	3307.6420033607424
338000	3.0493920106168225E-5	5106.890457002959
339000	4.606369157634188E-5	17101.357351808394
340000	2.0469868288246936E-5	10034.322038817203
341000	2.0321814059756122E-5	7673.019934440673
342000	2.6005783028747103E-5	7455.156542493431
343000	4.578627884159825E-5	24023.801193735435
344000	4.0994307923262024E-5	4336.281827513235
345000	4.742996192021902E-5	3555.54833174852
346000	4.995950550153867E-5	16886.137656951403
347000	1.038425012359078E-5	3065.0606327712508
348000	5.06332225910908E-5	26216.042948182472
349000	1.5558991007448787E-5	2415.0937386942737
350000	3.0819139143101356E-5	23292.765491723614
351000	4.216790497654928E-6	6069.600701234054
352000	1.478407502606167E-5	4742.391993854799
353000	2.6606505950263108E-6	10463.125666582644
354000	6.220214178382799E-6	7380.556936968152
355000	4.2280037130671125E-5	16309.03659535134
356000	4.400139158574397E-5	24316.77629938425
357000	4.2945047966951635E-5	24495.41159269823
358000	5.26353244071552E-6	1201.4206766237603
359000	1.3464510010488735E-5	13320.585166298844
360000	4.420828141966765E-5	22365.077173220765
361000	3.819024502562818E-5	25680.762455177184
362000	3.53673327918367E-5	25689.264102581048
363000	3.5257203801180677E-6	18157.28381311824
364000	5.0037511368901985E-5	25002.76575127669
365000	3.793042204502502E-5	8348.71023463004
366000	5.060773553089235E-5	25807.01596879898
367000	4.892877055410158E-5	24401.784811809248
368000	2.7777612095110693E-6	14534.951481347505
369000	4.385038231191689E-5	23090.683264901727
370000	6.705095219342742E-6	2233.941243813801
371000	3.418079986118087E-5	5706.8289562003965
372000	2.0839761924915123E-5	7028.251649259608
373000	4.074688962528113E-6	22567.826774471898
374000	1.2350549225950744E-5	12145.499807625054
375000	3.105754422521406E-5	6032.9870494524575
376000	4.877772339566857E-5	21426.575069924478
377000	2.7227116672129127E-5	18274.557416270814
378000	5.107658218884393E-5	24144.60768662899
379000	4.992269002106489E-5	23668.488431077305
380000	4.899501596255209E-5	21484.000652187293
381000	4.4534787025213396E-5	24437.18530936229
382000	4.4074767206035855E-6	6490.084558104943
383000	9.498250211058357E-6	7809.610023801152
384000	4.476040659825329E-5	2059.8451462053663
385000	4.031135629295166E-5	13832.155637027145
386000	1.2588638820859159E-5	8924.433335842119
387000	1.765500791562676E-5	11209.71356190445
388000	3.5430583177995605E-5	5461.506620464318
389000	1.0580321236693994E-5	10948.830147033868
390000	4.8740437057516586E-5	24877.613459624827
391000	7.078880480282187E-6	8534.933650855177
392000	5.0941196550727577E-5	25416.1518330204
393000	4.988618670877066E-5	25475.932759988624
394000	4.6771300774631306E-5	24215.11930993972
395000	4.223697502358402E-6	3885.6138944265617
396000	2.129944727062966E-5	7906.404543620415
397000	4.839764798624328E-5	25776.304348210535
398000	6.722807544325812E-6	2928.8073535054914
399000	4.956110884246133E-5	24026.163795988705
400000	4.400895952071958E-5	11248.152787258632
401000	4.983988195463981E-5	25560.248709125925
402000	5.0845407934094204E-5	19181.37982666391
403000	3.3477091624034517E-6	5092.451597268872
404000	4.490236656372575E-5	23839.295712837356
405000	4.2906203397667495E-5	22285.894279885368
406000	8.855914608745089E-6	10355.855214126837
407000	4.308904201420896E-5	23183.452725451898
408000	7.474070281399496E-6	4677.817366680133
409000	3.461434928161382E-5	12947.098387750484
410000	4.6717432774972665E-5	25738.33258614233
411000	4.836870339075976E-5	24583.518428874962
412000	2.9149349536260756E-5	2093.871698886725
413000	4.8555265625540876E-5	24329.16901156465
414000	4.434773634775971E-5	23273.938348073712
415000	1.6271407110336274E-5	8146.849312232716
416000	9.650731393599316E-6	6296.732816717178
417000	3.849834311216772E-5	6229.573103852949
418000	4.6324481668751616E-5	7712.489395714869
419000	1.1032319201899432E-5	5453.570471488475
420000	4.913767305274962E-5	21642.231706209073
421000	4.933337019033277E-5	18333.07427762881
422000	3.7571028780999055E-6	4492.065240814758
423000	4.430503641290311E-5	16253.32026128153
424000	3.109643106637433E-5	21563.304231777805
425000	5.102124364263286E-5	25290.923822383487
426000	2.8246054243971392E-5	7669.08472046347
427000	1.5089327459418133E-5	2332.6837201719636
428000	3.518583315308057E-5	11557.842581410283
429000	1.7542068298688732E-5	21835.557566369775
430000	2.691782358612427E-5	7101.809510496238
431000	1.7530971287448887E-5	12163.819646373331
432000	1.339583843366525E-5	1328.8805240983343
433000	4.069745745359334E-5	25599.870930372774
434000	5.0748702639638024E-5	23337.227035040625
435000	2.0481269690675207E-5	17682.910652075156
436000	3.994872894017549E-5	2869.0678996973975
437000	9.657285866512627E-6	7787.367132366189
438000	4.814791083395366E-5	24825.15901893976
439000	4.631720271208239E-5	23349.4264082031
440000	2.162201792253668E-6	7321.697411115379
441000	1.7844130491960167E-5	17160.48410544141
442000	1.9225521970702222E-5	19202.455161926184
443000	5.1433454229985026E-5	21533.604162780637
444000	2.8014525808537467E-5	3633.2038430356715
445000	4.966815676778608E-5	22019.411188886712
446000	4.5118187911962104E-5	25536.289238095975
447000	1.3729959512776384E-5	15379.218657184414
448000	2.5219599046677176E-5	2612.1131051391294
449000	3.674434052567883E-5	25850.00994848357
450000	4.389274864462168E-5	22914.45016486073
451000	4.497757058491243E-5	24633.70104414037
