# /home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9/CPo3Ti40S400_9.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.923111739116133, -3.923111739116133], error=0.6678366502057872, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
410000	9.567444923158246E-6	20580.58124433052
411000	9.567444923158246E-6	20580.58124433052
412000	9.567444923158246E-6	20580.58124433052
413000	9.567444923158246E-6	20580.58124433052
414000	9.567444923158246E-6	20580.58124433052
415000	9.567444923158246E-6	20580.58124433052
416000	9.567444923158246E-6	20580.58124433052
417000	9.567444923158246E-6	20580.58124433052
418000	9.567444923158246E-6	20580.58124433052
419000	9.567444923158246E-6	20580.58124433052
420000	9.567444923158246E-6	20580.58124433052
421000	9.567444923158246E-6	20580.58124433052
422000	9.567444923158246E-6	20580.58124433052
423000	9.567444923158246E-6	20580.58124433052
424000	9.567444923158246E-6	20580.58124433052
425000	9.567444923158246E-6	20580.58124433052
426000	9.567444923158246E-6	20580.58124433052
427000	9.567444923158246E-6	20580.58124433052
428000	9.567444923158246E-6	20580.58124433052
429000	9.567444923158246E-6	20580.58124433052
430000	9.567444923158246E-6	20580.58124433052
431000	9.567444923158246E-6	20580.58124433052
432000	9.567444923158246E-6	20580.58124433052
433000	9.567444923158246E-6	20580.58124433052
434000	9.567444923158246E-6	20580.58124433052
435000	9.567444923158246E-6	20580.58124433052
436000	9.567444923158246E-6	20580.58124433052
437000	9.567444923158246E-6	20580.58124433052
438000	9.567444923158246E-6	20580.58124433052
439000	9.567444923158246E-6	20580.58124433052
440000	9.567444923158246E-6	20580.58124433052
441000	9.567444923158246E-6	20580.58124433052
442000	9.567444923158246E-6	20580.58124433052
443000	9.567444923158246E-6	20580.58124433052
444000	9.567444923158246E-6	20580.58124433052
445000	9.567444923158246E-6	20580.58124433052
446000	9.567444923158246E-6	20580.58124433052
447000	9.567444923158246E-6	20580.58124433052
448000	9.567444923158246E-6	20580.58124433052
449000	9.567444923158246E-6	20580.58124433052
450000	9.567444923158246E-6	20580.58124433052
451000	9.567444923158246E-6	20580.58124433052
452000	9.567444923158246E-6	20580.58124433052
453000	9.785205887501177E-6	20245.983621820542
454000	9.785205887501177E-6	20245.983621820542
455000	9.785205887501177E-6	20245.983621820542
456000	9.785205887501177E-6	20245.983621820542
457000	9.785205887501177E-6	20245.983621820542
458000	9.785205887501177E-6	20245.983621820542
459000	9.785205887501177E-6	20245.983621820542
